佛 	ぶっ 	Buddha 	Buddha 	Usually 佛 in Heart Sutra, but commonly 仏.
耳 	に 	ear 	ear 	
鼻 	び 	nose 	nose 	
舌 	ぜっ 	tongue 	tongue 	
身 	しん 	somebody 	body 	
意 	い 	idea 	mind 	
無 	む 	no 	no 	
色 	しき 	color 	color 	
聲 	しょう 	voice 	sound 	声 in WK
香 	こう 	fragrance 	smell 	
味 	み 	flavor 	taste 	
触 	そく 	touch 	touch 	
法 	ほう 	method 	dharma
This next section is where I officially leave the realm of easy translation. I have been freely borrowing from a variety of translations from the internet. So far, I have understood the logic of the translations well enough to be confident in them without turning this into a major research project. The 限界 and the 識界 are the first and last of the Eighteen Dhatus, 18 classifications of all knowable things. So the 乃至 is used here (and other places) as “etc.” “and so on.” The Sutra presumes we just understand this because of our extensive training Buddhism. I don’t know what these terms are in Japanese, or even if there are any, and it is well beyond the scope of this project.
Earlier, we had the five aggregates, form, feeling, volition, perception, and consciousness listed out in entirety. Later, we will have more lists not entirely spelled out.
無 	む 	no 	no 	
眼 	げん 	eyeball 	sensory 	
界 	かい 	world 	realms 	
乃 	ない 	from 		
至 	し 	attain 		
無 	む 	no 		
意 	い 	idea 		
識 	しき 	discerning 	consciousness 	
界 	かい 	world 	realm 	
無 	む 	no 	no 	
無 	む 	no 	no 	
明 	みょう 	bright 	wisdom 	as a word 明 is みょう, wisdom. The beginning of another list.
亦 	やく 	also 	also 	alternate form of 又
無 	む 	no 	no 	
無 	む 	no 	no 	
明 	みょう 	bright 	wisdom 	
盡 	じん 	不 	exhaust 	jinmeiyo kanji
乃 	ない 	from 	and so on 	
至 	し 	attain 	until 	
無 	む 	no 	no 	
老 	ろう 	elderly 		
死 	し 	death 		
亦 	やく 	also 		
無 	む 	no 		
老 	ろう 	elderly 		
死 	し 	death 		
盡 	じん 	exhaust 	Here is the end of our next non-elucidated list. The first of the 12 links of dependent origination is ignorance, the last is old age and death. This passage negates all of them.	
無 	む 	no 	no 	
苦 	く 	suffering 	suffering 	
集 	しゅう 	collect 	origin 	
滅 	めつ 	destroy 	cessation 	
道 	どう 	road 	path 	My copy of The Teaching of the Buddha gives 苦諦, 集諦, 滅諦, and 道諦 as the four noble truths.
無 	む 	no 	no 	
智 	ち 	wisdom 	wisdom 	
亦 	やく 	不 	also 	
無 	む 	no 	no 	
得 	とく 	gain 	attainment 	
以 	い 	from 	because 	
無 	む 	no 	no 	
所 	しょう 	place 		
得 	とく 	acquire 		
故 	こ 	circumstance 		
菩 	ぼ 	不 		
提 	だい 	present 		
薩 	さっ 	不 		
埵 	た 	不 		
依 	え 	reliant 		
般 	ハン 		
若 	二ゃ 	 		
波 	ハ 	 	 	
羅 	ラ 	 	 	
蜜 	ミッ  	 	
多 	タ 		
故 	こ 	circumstance 		
心 	しん 	heart 		
無 	む 	no 	no 	
罣 	けい 	不 	hinder 	
礙 	げ 	不 	obstruct 	
無 	む 	no 	no 	
罣 	けい 	不 	hinder 	
礙 	げ 	不 	obstruct 	
故 	こ 	circumstance 		
無 	む 	no 	no 	
有 	う 	have 		
恐 	く 	fear 		
怖 	ふ 	scary 		
遠 	おん 	scooter 		
離 	り 	detach 		
一 	いっ 	one 		
切 	さい 	cut 		
顚 	てん 	不 	peak 	now written as 顛 or 転
倒 	どう 	overthrow 		
夢 	む 	dream 		
想 	そう 	concept 		
究 	く 	research 		
竟 	きょう 	不 	end 	究竟 after all, in the end
涅 	ネ 	不 	black soil 	
槃 	ハン 	不 	tub　ネハン = nirvana
三 	さん 	three		
世 	ぜ 	world		
諸 	しょ 	various all	
佛 	ぶつ 	Bhudda  Buddhas	
依 	え 	reliant follow
般 	ハン 	
若 	二ゃ 	
波 	ハ 	
羅 	ラ 	 	
蜜 	ミッ 	
多 	タ 				
故 	こ circumstance
得 	とく  acquire
阿 	アノ 			
耨 	ク 			
多 	タ 			
羅 	ラ 			
三   サン
藐 	ミャ 			
三 	サン 			
菩   ボ
提 	ダイ　Anuttara samyaksambodhi, nirvana		
故 	こ circumstance
知 	ち know		
般 	ハン 		
若 	二ゃ 		
波 	ハ 		
羅 	ラ 		 	
蜜 	ミッ 	
多 	タ 		
是 	ぜ absolutely	
大 	だい big		
神 	しん 	god		
咒 	しゅ 	curse mantra 呪 in WK
是 	ぜ absolutely		
大 	だい big	
明 	みょう bright		
咒 	しゅ 	mantra
是 	ぜ absolutely		
無 	む no			
上 	じょう above higher		
咒 	しゅ mantra			
是 	ぜ absolutely			
無 	む no			
等 	とう equal
等  どう equal　what a great japanese word to find in an essentially Chinese text.  等々 is usually　とうとう.  
咒 	しゅ mantra		
能 	のう ability	
除 	じょ  exclude
一 	いっ 	one
切   さい  cut 一切 all
苦 	く 	suffering
真 	しん  reality 			
實 	じつ 	truth	
不 	ふ 	not		
虚 	こ 	void	
故 	こ 	circumstance		
説 	せつ  theory			
般 	ハン 	
若 	二ゃ 	 		
波 	ハ 	 	 	
羅 	ラ 	 	 	
蜜 	ミッ  	 	
多 	タ 	 			
咒 	しゅ mantra			
即 	そく instant		
説 	せつ theory	
咒 	しゅ mantra		
曰 	わつ 	say 		not in WK
羯   ギャ
諦 	テイ 			
羯 	ギャ 			
諦 	テイ 
波   ハ
羅 	ラ 			
羯 	ギャ 			
諦 	テイ 
波   ハ
羅 	ラ 			
僧 	ソウ 			
羯 	ギャ 			
諦 	テイ 
菩   ボ
提   ジ
薩 	ソ 			
婆 	ワ 			
訶 	カ 			
般 	ハン 			
若 	ニャ 			
心 	しん 			
經 	ぎょう 		
